Year,Date,Headline,Weblink,Company name,Event type,Sub Segment,Trend,International NL
2025,07/01/2025,"SAP and IBM collaborate to offer RISE with SAP on IBM Power Virtual Server, improving on their process automation and agility concerning the migration of SAP S/4HANA from on-premises to the cloud and their other ERP offerings. Sap claims to have a migration time of 90 days following this update.",https://news.sap.com/2025/01/rise-with-sap-ibm-power-virtual-server-sap-s4hana-cloud/,SAP,Partnership,,,
2025,07/01/2025,"Argentina's ARCA introduces a Consumer Tax Transparency Regime requiring detailed tax breakdowns on invoices, effective January 1, 2025, for large companies, with mandatory compliance for all by April 1, 2025, enhancing consumer awareness and business decision-making",https://www.fonoa.com/blog/argentina-introduces-vat-itemization-mandate,Industry,Regulation,Tax Compliance,,International
2025,03/01/2025,,https://www.fonoa.com/blog/us-sales-tax-rate-updates-january-2025,Industry,Regulation,Tax Compliance,,
2025,1/17/2025,"Swap, an ecommerce operations platform, partners with Avalara to offer integrated cross-border tax compliance solutions for brands selling on global marketplaces",https://thepaypers.com/online-payments/swap-partners-with-avalara-for-ecommerce-compliance--1271810,Avalara,Partnership,Tax Compliance,,
2025,1/13/2025,"CFO Tech launches in Orange County, offering SMBs financial management solutions including accounts payable automation",https://www.prweb.com/releases/cfo-tech-announces-official-launch-for-2025-transforming-business-financial-management-with-advanced-solutions-302345602.html,CFOTech,Product Launch,E-invoicing,AP AR,
2025,1/15/2025,"Tax Systems launches Pillar2, a SaaS solution aimed at de-risking  BEPS Pillar Two tax compliance with generative AI for real-time insights",https://www.taxsystems.com/tax-news/tax-systems-launches-ai-powered-saas-solution-for-global-pillar-two-compliance-and-reporting/,Tax Systems,Product Launch,BEPS,,
2025,1/30/2025,"Sovos plans to conduct a webinar that offers insights on integrating e-invoicing compliance into SAP S/4HANA migrations, covering regulatory updates, best practices, transition strategies, and ROI maximization",https://event.on24.com/wcc/r/4811285/7ACDE422869C4D4A8F237350BC1AE40A?utm_medium=email&utm_source=marketo&utm_campaign=SAP-ERPwebinar-January25&utm_term=erp-global&utm_content=webinar,Sovos,Event,Event,,
2025,1/22/2025,,https://www.esgtoday.com/ecovadis-launches-new-csrd-supply-chain-data-collection-solution/,Ecovadis,Product Launch,ESG,CSRD,
2025,1/15/2025,Shippeo secures a $30M funding round led by Woven Capital to expand its real-time transportation visibility platform across North America and APAC,https://www.shippeo.com/press-releases/shippeo-raises-30m-strategic-round-led-by-woven-capital-to-accelerate-us-and-apac-expansion,Shippeo,Funding,GTM,,
2025,1/20/2025,"The European Parliament ECON Committee fast-tracks the adoption of the ViDA package and DAC9 opinion using a simplified procedure for quicker implementation, targeting a February Plenary Session decision",https://etaf.tax/weekly-tax-news-monday-20-january-2025/,INdustry,Regulation,Tax Compliance,ViDA,International
2025,1/17/2025,"Bosnia and Herzegovina proposes a draft law mandating e-invoicing and real-time reporting for B2B, B2G, and B2C transactions, utilizing a centralized platform for B2B and B2G, and approved electronic fiscal systems for B2C",https://sovos.com/regulatory-updates/vat/bosnia-and-herzegovina-draft-law-on-mandatory-e-invoice/,Industry,Regulation,E-invoicing,,International
2025,1/14/2025,Corcentric announces an International Tax Management Engine that automates complex tax calculations for its Accounts Payable customers,https://www.corcentric.com/company/press-releases/corcentric-launches-enhanced-international-tax-management-engine-for-accounts-payable-customers/,Corcentric,Product Launch,E-invoicing,,
2025,1/18/2025,"Kintsugi introduces Nexus Predictor that proactively manage sales tax compliance by forecasting nexus requirements, streamlining registrations, and facilitating operational planning",https://trykintsugi.com/blog/kintsugi-intelligence-now-predicts-nexus-to-keep-you-ahead-of-compliance,Kintsugi,Product Enhancementq,Tax Compliance,,
2025,1/16/2025,"Namirial, backed by Ambienta, acquires Digital Technologies to enhance its electronic invoicing and digital transaction management capabilities",https://www.namirial.com/en/news/namirial-acquires-digital-technologies/,Namiral,Acquisition,E-invoicing,,
2025,01/01/2025,"Logiq, Nordictrade netowork service provider, acquires DIGITAL CAB, a Danish EDI operator, to strengthen its position in handling digital supply chain projects",https://www.logiqconnect.com/company/news/logiq-acquires-digital-cab-to-increase-its-presence-in-the-danish-market,Logiq,Acquisition,GTM,,International
2025,1/17/2025,"Taxmarc introduces Taxmarc 3.2 with features including SAP S/4 HANA advanced intercompany support, CCH SureTax integration for US solutions, and new data visualization reports",https://www.linkedin.com/posts/taxmarc-b.v._newrelease3-softwareupdate-techinnovation-activity-7285910411969781760-BW-G/,TaxMarc,Product Enhancement,Tax Compliance,,
